R,G,B,Type
166,238,217,1
139,101,199,1
108,73,114,0
85,248,183,1
41,155,202,1
19,121,212,1
93,22,143,1
99,25,217,1
220,99,207,1
77,97,131,1
89,67,8,0
142,113,162,1
149,243,29,1
232,31,74,1
73,117,101,0
201,217,166,1
214,219,141,1
159,75,74,1
72,154,36,1
221,179,118,1
227,242,129,1
209,177,18,1
211,84,44,1
66,85,232,1
112,247,147,1
147,147,69,1
5,132,147,1
189,160,235,1
81,240,193,1
87,172,107,1
209,211,138,1
207,118,72,1
35,154,14,1
45,165,237,1
112,179,141,1
206,106,83,1
188,85,4,1
7,215,2,1
111,60,158,1
184,98,144,1
255,183,223,1
170,45,34,1
116,22,228,1
89,27,251,1
106,15,228,1
29,161,40,1
27,187,35,1
23,183,19,1
46,66,104,0
47,226,153,1
121,234,168,1
102,123,236,1
120,98,10,0
199,142,200,1
1,47,124,0
105,75,6,0
195,168,205,1
179,20,228,1
156,62,143,1
242,82,122,1
167,41,197,1
125,119,111,0
75,187,9,1
16,254,12,1
138,140,157,1
232,21,165,1
236,130,45,1
13,235,61,1
31,10,189,1
59,12,181,1
2,129,245,1
102,151,19,1
186,129,87,1
71,107,244,1
151,50,196,1
118,161,14,1
103,4,3,0
192,165,11,1
154,92,123,1
159,154,182,1
11,118,222,1
23,5,164,1
44,63,217,1
67,234,161,1
109,185,115,1
143,232,183,1
226,68,83,1
113,99,170,1
241,31,62,1
75,72,184,1
199,149,48,1
44,43,93,0
72,193,211,1
49,6,228,1
214,24,77,1
207,139,20,1
94,47,104,0
65,204,217,1
15,144,16,1
86,233,68,1
165,176,105,1
244,246,166,1
67,117,155,1
105,236,39,1
62,223,136,1
148,74,174,1
113,189,35,1
172,217,104,1
59,150,153,1
8,145,110,1
172,215,86,1
16,114,58,0
230,35,47,1
170,207,106,1
208,250,226,1
63,213,152,1
111,217,200,1
210,189,168,1
148,152,37,1
121,249,148,1
238,126,40,1
72,97,108,0
169,95,141,1
201,231,84,1
252,250,60,1
30,110,101,0
230,51,29,1
237,254,149,1
178,52,213,1
180,130,60,1
161,149,125,1
28,242,45,1
220,75,117,1
229,30,215,1
114,92,180,1
74,238,167,1
164,126,144,1
161,49,17,1
69,204,82,1
240,20,43,1
63,38,83,0
5,171,86,1
117,4,161,1
233,17,246,1
180,34,146,1
118,22,188,1
8,127,254,1
141,179,244,1
79,22,156,1
219,241,203,1
148,0,123,1
99,86,81,0
244,88,31,1
215,227,221,1
20,138,214,1
19,251,138,1
33,59,101,0
85,154,19,1
223,233,28,1
75,238,173,1
177,21,104,1
118,152,222,1
32,208,215,1
45,168,78,1
12,84,10,0
9,85,103,0
69,70,11,0
126,203,228,1
117,87,141,1
74,16,166,1
125,163,92,1
113,120,99,0
171,180,177,1
69,132,4,1
33,224,163,1
115,108,183,1
58,240,198,1
136,110,104,1
184,92,174,1
248,186,239,1
110,169,169,1
236,73,161,1
152,135,209,1
37,220,62,1
253,224,125,1
96,141,189,1
95,217,166,1
42,236,234,1
114,15,143,1
182,172,15,1
104,134,233,1
207,80,190,1
216,190,240,1
202,3,252,1
112,30,40,0
51,211,8,1
93,204,10,1
190,215,201,1
51,45,185,1
64,238,5,1
153,80,171,1
119,9,43,0
189,93,217,1
181,238,123,1
57,23,220,1
211,177,174,1
239,250,99,1
238,205,137,1
7,187,38,1
47,142,243,1
100,23,25,0
30,139,98,1
139,135,127,1
152,102,99,1
4,68,202,1
83,120,23,0
63,136,77,1
254,230,86,1
201,11,200,1
139,9,169,1
184,164,34,1
115,162,189,1
99,140,164,1
145,158,46,1
132,250,74,1
224,31,161,1
220,211,19,1
73,64,52,0
72,117,146,1
100,106,47,0
36,80,192,1
246,148,41,1
114,247,191,1
114,109,9,0
168,25,243,1
15,0,209,1
128,109,216,1
53,212,37,1
170,243,156,1
139,164,140,1
222,234,130,1
92,96,237,1
146,233,255,1
80,16,184,1
204,15,69,1
76,139,26,1
177,88,225,1
175,251,164,1
61,190,109,1
237,106,116,1
126,17,142,1
115,185,26,1
219,74,44,1
51,181,134,1
10,105,165,1
184,132,219,1
246,194,20,1
57,24,62,0
136,207,33,1
147,170,76,1
147,49,132,1
89,63,226,1
232,246,84,1
136,203,123,1
30,75,15,0
247,103,70,1
249,38,4,1
32,50,122,0
54,11,55,0
100,218,173,1
78,176,11,1
160,231,81,1
255,58,130,1
159,187,249,1
91,237,103,1
210,171,45,1
94,63,43,0
189,66,15,1
81,152,130,1
179,85,194,1
161,1,5,1
148,124,51,1
99,61,146,1
245,135,69,1
22,117,191,1
187,126,229,1
222,227,11,1
4,124,66,0
9,99,145,1
150,221,40,1
156,242,45,1
107,232,140,1
128,35,133,1
68,155,193,1
17,208,62,1
111,220,61,1
240,199,51,1
117,125,104,0
105,146,136,1
247,90,130,1
22,205,62,1
120,133,77,1
149,160,47,1
243,36,77,1
199,101,115,1
27,116,76,0
214,122,183,1
202,22,101,1
200,213,59,1
14,39,90,0
90,149,245,1
201,175,57,1
155,19,43,1
183,223,143,1
161,77,184,1
18,52,161,1
110,134,213,1
121,69,197,1
223,239,33,1
141,130,94,1
45,79,209,1
246,216,242,1
224,64,137,1
25,105,57,0
157,214,3,1
105,74,152,1
47,121,46,0
198,93,108,1
94,16,59,0
187,52,190,1
108,141,255,1
188,216,24,1
69,238,202,1
4,33,146,1
139,196,240,1
112,237,29,1
145,195,112,1
152,104,202,1
218,111,239,1
224,147,59,1
212,187,0,1
56,169,210,1
114,32,73,0
42,40,61,0
229,44,60,1
171,94,105,1
125,167,218,1
217,241,170,1
149,151,19,1
150,154,21,1
226,157,93,1
34,195,213,1
104,118,166,1
86,127,123,0
62,137,174,1
140,62,12,1
132,139,170,1
2,178,180,1
171,215,152,1
116,132,82,1
239,53,168,1
5,84,106,0
101,5,37,0
193,87,153,1
114,35,199,1
61,14,122,0
136,50,23,1
111,252,115,1
62,101,227,1
226,57,138,1
217,152,29,1
229,13,238,1
241,174,9,1
134,211,44,1
7,72,129,1
113,187,211,1
230,57,191,1
53,191,14,1
34,9,232,1
190,80,90,1
238,167,238,1
4,222,195,1
73,160,131,1
189,137,248,1
97,70,214,1
31,205,44,1
191,30,107,1
100,52,142,1
78,244,234,1
230,99,12,1
166,53,84,1
252,158,149,1
99,176,239,1
107,244,254,1
171,156,207,1
141,124,101,1
36,213,136,1
208,162,64,1
102,105,147,1
149,98,190,1
20,253,131,1
227,178,247,1
169,96,73,1
200,245,37,1
166,235,120,1
159,169,44,1
38,103,119,0
167,116,245,1
125,237,147,1
65,88,63,0
161,185,172,1
75,51,250,1
247,25,90,1
230,41,255,1
131,243,58,1
245,194,185,1
22,23,114,0
31,57,223,1
144,91,78,1
133,218,34,1
246,103,208,1
38,225,158,1
47,249,118,1
216,195,51,1
17,188,113,1
60,100,218,1
182,23,131,1
173,120,88,1
45,9,88,0
92,160,229,1
14,163,192,1
194,186,130,1
176,213,162,1
13,140,127,1
157,105,107,1
55,227,108,1
206,36,226,1
120,202,230,1
128,63,194,1
28,18,192,1
104,51,106,0
141,20,212,1
32,200,170,1
148,212,91,1
42,83,112,0
96,22,193,1
245,117,67,1
85,251,193,1
145,189,197,1
253,138,246,1
193,73,67,1
201,121,22,1
159,96,157,1
49,132,48,1
75,94,188,1
10,36,254,1
115,161,44,1
247,43,25,1
223,41,35,1
251,88,141,1
101,142,156,1
140,169,6,1
166,24,207,1
7,181,129,1
246,166,194,1
4,217,184,1
198,143,136,1
182,247,181,1
111,91,248,1
100,159,75,1
213,80,168,1
49,43,236,1
204,94,7,1
28,217,37,1
145,35,194,1
118,163,247,1
59,89,209,1
115,157,185,1
103,14,148,1
187,227,213,1
208,144,55,1
36,224,7,1
77,62,87,0
227,89,218,1
91,137,141,1
199,233,144,1
30,230,111,1
189,245,237,1
162,168,51,1
151,173,246,1
14,0,131,1
115,247,59,1
10,35,171,1
152,23,30,1
166,55,158,1
136,106,51,1
4,217,55,1
17,94,26,0
182,17,197,1
24,244,232,1
209,39,207,1
79,60,186,1
207,115,112,1
99,215,142,1
208,208,176,1
69,255,254,1
121,28,36,0
3,113,9,0
191,176,87,1
136,131,98,1
66,199,174,1
210,129,157,1
53,229,183,1
139,157,43,1
14,248,85,1
69,31,104,0
163,227,182,1
39,86,236,1
214,189,20,1
140,209,204,1
131,99,95,1
155,20,203,1
123,89,61,0
61,71,170,1
41,23,186,1
63,211,245,1
245,188,111,1
154,89,22,1
111,75,82,0
192,208,4,1
94,139,1,1
56,34,54,0
6,211,86,1
8,123,88,0
51,217,8,1
82,124,69,0
103,106,155,1
160,148,108,1
116,245,219,1
35,72,210,1
114,243,187,1
233,22,172,1
5,189,3,1
204,213,13,1
72,65,84,0
186,54,141,1
124,226,45,1
20,150,37,1
153,9,7,1
20,49,173,1
132,16,179,1
121,129,120,1
192,127,196,1
92,6,37,0
154,111,222,1
71,55,143,1
79,69,72,0
144,124,141,1
196,115,26,1
134,82,59,1
44,38,37,0
169,87,193,1
103,182,122,1
56,139,111,1
138,78,31,1
123,100,77,0
13,185,255,1
127,250,208,1
255,175,70,1
227,195,120,1
191,59,130,1
123,24,64,0
121,25,109,0
119,162,102,1
212,24,23,1
10,235,209,1
88,232,88,1
141,139,81,1
172,58,180,1
99,119,161,1
251,43,188,1
87,18,79,0
53,107,180,1
176,91,94,1
134,70,88,1
129,38,100,1
93,58,252,1
250,23,66,1
113,86,138,1
101,70,110,0
189,6,136,1
230,208,181,1
205,89,205,1
244,246,6,1
224,205,177,1
195,148,4,1
97,106,38,0
66,122,209,1
132,61,185,1
158,167,88,1
119,111,25,0
0,160,171,1
197,136,139,1
11,87,173,1
131,190,139,1
44,234,2,1
48,165,135,1
44,188,60,1
25,37,215,1
0,96,180,1
134,9,126,1
248,64,174,1
250,4,23,1
56,230,246,1
26,174,104,1
243,233,49,1
166,152,109,1
243,156,134,1
163,42,160,1
32,25,152,1
105,74,84,0
14,215,240,1
188,16,149,1
42,48,141,1
30,207,125,1
17,129,39,1
34,219,38,1
90,149,180,1
44,56,190,1
91,225,29,1
19,73,182,1
146,198,100,1
18,181,100,1
118,148,167,1
213,158,5,1
187,120,42,1
163,230,158,1
169,240,163,1
175,225,221,1
69,211,68,1
213,249,58,1
8,46,88,0
217,38,101,1
164,192,178,1
130,180,160,1
144,230,151,1
87,245,214,1
214,89,27,1
144,218,226,1
101,75,52,0
98,61,66,0
97,70,52,0
24,41,36,0
180,220,174,1
38,96,41,0
201,208,201,1
97,81,213,1
153,104,205,1
15,249,121,1
225,100,195,1
187,152,117,1
73,121,46,0
44,176,112,1
168,197,235,1
248,240,109,1
196,191,233,1
138,55,216,1
13,176,93,1
211,18,86,1
69,105,74,0
99,187,81,1
128,64,64,1
236,35,153,1
47,52,72,0
114,62,33,0
236,149,61,1
248,208,163,1
108,138,251,1
104,78,39,0
251,84,134,1
174,80,0,1
124,41,138,1
18,86,254,1
230,33,23,1
244,130,189,1
254,36,196,1
225,5,113,1
115,110,209,1
58,127,108,0
199,44,182,1
216,125,244,1
147,0,163,1
186,230,172,1
138,98,7,1
52,254,80,1
210,72,132,1
198,77,161,1
210,65,45,1
64,151,201,1
218,20,149,1
109,16,39,0
52,89,195,1
82,75,68,0
197,243,53,1
131,39,218,1
11,95,120,0
126,241,191,1
20,11,33,0
27,37,28,0
47,165,15,1
126,205,130,1
139,207,167,1
82,249,23,1
78,29,188,1
24,78,110,0
25,86,247,1
208,231,204,1
61,109,67,0
194,66,165,1
179,0,25,1
243,150,61,1
40,21,204,1
201,208,182,1
157,174,208,1
183,57,87,1
47,240,112,1
222,230,30,1
186,71,40,1
241,157,185,1
197,126,13,1
112,89,118,0
191,38,132,1
43,16,150,1
93,136,141,1
66,54,8,0
81,167,184,1
189,79,102,1
150,122,249,1
161,117,44,1
226,239,36,1
253,219,232,1
9,57,69,0
93,17,224,1
122,23,29,0
103,127,162,1
233,147,131,1
243,40,4,1
195,2,21,1
83,59,44,0
116,117,110,0
12,244,15,1
59,173,153,1
223,191,242,1
16,102,255,1
171,38,234,1
159,29,195,1
248,61,76,1
24,137,150,1
202,113,85,1
141,70,161,1
88,144,70,1
59,132,162,1
110,142,219,1
232,191,170,1
136,183,24,1
9,102,255,1
94,150,83,1
200,130,148,1
185,20,2,1
76,66,140,1
118,14,60,0
210,66,20,1
153,161,153,1
124,12,6,0
173,226,51,1
185,12,104,1
214,164,215,1
132,239,35,1
40,212,117,1
193,48,39,1
54,60,196,1
74,41,89,0
222,19,241,1
179,140,51,1
113,107,40,0
142,28,232,1
216,24,125,1
17,20,140,1
184,157,14,1
202,102,167,1
74,199,208,1
247,246,10,1
205,163,216,1
115,17,65,0
71,124,105,0
135,99,195,1
137,153,180,1
82,25,15,0
122,58,65,0
54,143,106,1
128,133,251,1
86,236,35,1
2,84,48,0
10,236,83,1
67,235,113,1
203,111,183,1
132,187,119,1
182,221,230,1
162,31,111,1
108,156,225,1
243,25,123,1
203,52,228,1
107,156,93,1
66,178,174,1
121,146,213,1
120,40,136,1
19,134,117,1
229,211,47,1
46,149,213,1
208,140,185,1
46,176,157,1
66,126,63,0
67,21,250,1
166,218,212,1
208,253,201,1
26,171,248,1
39,60,0,0
6,9,131,1
92,230,39,1
177,112,157,1
57,136,197,1
170,146,197,1
39,101,38,0
105,200,91,1
8,230,57,1
57,68,8,0
208,92,177,1
216,153,155,1
36,18,173,1
141,100,46,1
239,55,171,1
121,44,188,1
155,68,56,1
103,124,4,0
239,30,34,1
249,124,78,1
81,115,149,1
197,122,227,1
99,13,11,0
137,184,91,1
11,146,231,1
176,191,190,1
25,93,237,1
94,49,161,1
215,131,169,1
76,157,200,1
148,255,25,1
209,205,58,1
143,77,10,1
205,221,249,1
143,73,158,1
117,22,78,0
115,154,44,1
35,81,196,1
117,229,125,1
203,84,254,1
144,199,123,1
230,176,17,1
239,229,136,1
253,215,115,1
132,112,14,1
100,131,98,1
135,119,196,1
189,168,192,1
32,17,3,0
234,178,4,1
162,40,72,1
102,6,44,0
40,18,254,1
126,181,213,1
180,170,100,1
76,21,128,1
80,61,59,0
218,215,147,1
81,28,225,1
96,176,194,1
138,2,117,1
176,246,235,1
135,11,74,1
195,33,37,1
225,42,56,1
114,69,19,0
115,219,139,1
148,230,101,1
15,194,196,1
77,189,79,1
40,29,38,0
115,25,237,1
227,176,255,1
181,47,18,1
40,116,3,0
117,43,128,1
171,80,241,1
154,221,39,1
215,55,193,1
5,108,189,1
224,206,234,1
162,205,116,1
149,104,123,1
176,102,126,1
86,109,176,1
62,84,27,0
202,4,72,1
196,10,13,1
1,76,243,1
189,19,116,1
162,194,90,1
209,208,69,1
124,58,156,1
151,54,69,1
239,98,144,1
57,61,109,0
62,89,5,0
209,56,95,1
172,89,160,1
127,212,114,1
154,200,230,1
209,132,231,1
71,203,165,1
226,238,163,1
49,227,190,1
147,60,147,1
142,39,22,1
21,65,108,0
221,159,61,1
215,210,0,1
102,96,193,1
151,127,58,1
247,39,155,1
67,69,184,1
92,220,245,1
241,249,141,1
86,59,240,1
236,128,220,1
38,203,16,1
252,38,34,1
122,72,244,1
33,41,49,0
209,143,243,1
170,14,102,1
8,94,136,1
41,244,220,1
91,147,251,1
67,92,96,0
32,120,18,0
174,26,34,1
230,171,93,1
242,148,222,1
19,13,160,1
245,146,13,1
8,147,223,1
58,84,246,1
218,170,210,1
157,254,223,1
186,20,144,1
37,159,208,1
55,2,232,1
45,246,151,1
31,69,132,1
191,118,87,1
167,126,219,1
97,5,118,0
81,12,205,1
154,163,156,1
190,82,39,1
91,247,157,1
242,54,116,1
68,243,160,1
66,200,177,1
13,209,126,1
4,146,170,1
15,174,82,1
195,110,33,1
28,41,31,0
241,201,45,1
48,121,183,1
14,132,85,1
64,0,82,0
180,158,70,1
237,44,21,1
182,97,117,1
182,136,45,1
175,235,67,1
195,201,200,1
215,255,90,1
154,139,234,1
39,100,17,0
39,93,54,0
108,55,85,0
179,20,65,1
140,61,30,1
242,120,115,1
69,133,251,1
99,129,183,1
155,101,146,1
176,192,36,1
245,8,107,1
22,105,137,1
34,125,246,1
19,138,168,1
239,57,179,1
165,82,91,1
231,61,251,1
58,201,136,1
255,250,82,1
188,48,245,1
164,190,143,1
121,66,69,0
43,124,67,0
151,55,254,1
88,113,54,0
133,211,61,1
127,192,112,1
19,231,143,1
178,28,225,1
167,87,202,1
24,130,106,1
236,238,58,1
54,121,68,0
58,86,254,1
123,236,10,1
227,27,81,1
63,99,113,0
207,95,44,1
162,138,210,1
177,26,156,1
140,31,82,1
7,198,109,1
60,6,156,1
11,196,148,1
174,176,186,1
175,145,163,1
189,57,219,1
73,151,58,1
20,184,225,1
239,186,22,1
8,8,180,1
105,104,224,1
82,225,10,1
160,196,249,1
53,54,120,0
101,221,180,1
160,48,99,1
89,32,227,1
26,240,34,1
142,229,111,1
132,71,217,1
10,103,138,1
61,240,7,1
173,230,169,1
244,159,237,1
174,66,56,1
239,144,75,1
17,90,120,0
91,227,215,1
188,253,55,1
207,157,8,1
144,81,96,1
223,27,156,1
155,143,167,1
75,202,141,1
162,104,55,1
32,226,27,1
141,129,196,1
144,9,216,1
199,132,170,1
34,63,189,1
2,139,46,1
91,20,200,1
13,27,253,1
233,178,26,1
192,114,93,1
147,112,142,1
226,102,223,1
174,93,198,1
52,143,152,1
23,154,134,1
120,24,138,1
198,169,181,1
55,109,40,0
123,95,244,1
85,114,86,0
152,10,148,1
179,161,61,1
140,119,173,1
26,110,173,1
69,119,211,1
37,72,250,1
63,4,109,0
5,232,53,1
143,157,37,1
92,0,82,0
211,133,230,1
84,81,120,0
136,128,108,1
85,95,96,0
24,176,35,1
168,204,189,1
1,38,189,1
225,99,24,1
165,66,197,1
0,219,143,1
246,251,171,1
218,244,149,1
71,15,29,0
43,51,122,0
89,25,138,1
144,13,115,1
50,89,194,1
205,222,171,1
222,80,238,1
72,72,122,0
112,54,147,1
140,55,46,1
22,167,149,1
198,110,198,1
124,151,64,1
3,229,131,1
95,130,146,1
54,97,213,1
66,179,51,1
205,16,113,1
40,10,120,0
186,57,162,1
31,244,8,1
24,0,94,0
29,58,197,1
7,71,66,0
235,184,119,1
170,29,6,1
86,32,234,1
165,200,197,1
204,140,148,1
10,162,158,1
233,159,234,1
144,61,188,1
115,182,135,1
9,155,182,1
63,204,83,1
253,165,165,1
220,144,213,1
115,34,171,1
126,253,203,1
6,254,52,1
225,241,254,1
50,176,197,1
16,31,211,1
100,204,199,1
79,216,217,1
106,163,203,1
100,250,200,1
44,242,253,1
133,186,178,1
82,91,21,0
75,68,37,0
163,109,66,1
0,170,221,1
162,146,238,1
60,165,84,1
217,5,161,1
154,207,91,1
88,184,238,1
241,178,59,1
222,141,226,1
6,254,161,1
211,178,119,1
195,202,109,1
41,101,165,1
20,96,65,0
43,214,28,1
205,175,238,1
134,214,226,1
156,232,3,1
228,33,250,1
220,122,140,1
252,193,219,1
104,209,46,1
2,55,118,0
76,136,27,1
184,122,120,1
149,233,237,1
207,134,167,1
165,195,4,1
57,115,159,1
121,117,158,1
131,186,175,1
140,173,23,1
221,80,50,1
209,145,112,1
147,6,232,1
0,182,168,1
186,211,43,1
215,210,89,1
229,124,158,1
222,192,143,1
206,186,12,1
100,108,48,0
44,95,183,1
122,191,111,1
224,169,167,1
246,36,38,1
237,2,103,1
32,94,72,0
77,147,133,1
43,214,129,1
65,121,98,0
182,82,208,1
47,218,188,1
95,71,111,0
199,153,104,1
250,34,63,1
119,182,215,1
199,114,241,1
14,182,127,1
49,86,67,0
68,18,180,1
5,28,29,0
128,170,2,1
227,59,165,1
167,122,32,1
31,209,62,1
28,101,254,1
34,253,220,1
89,243,181,1
113,83,223,1
7,148,223,1
90,114,137,1
115,19,49,0
35,30,92,0
157,37,84,1
68,216,81,1
5,225,142,1
172,195,95,1
138,133,50,1
196,129,46,1
190,87,159,1
179,206,99,1
130,153,215,1
101,187,37,1
175,62,240,1
144,33,241,1
164,219,200,1
131,245,81,1
29,160,114,1
146,220,126,1
203,0,12,1
86,86,136,1
176,90,210,1
57,76,248,1
4,69,181,1
77,136,163,1
30,180,160,1
229,96,30,1
154,168,137,1
125,194,198,1
192,175,153,1
233,120,233,1
113,77,169,1
24,171,230,1
99,146,84,1
128,64,24,1
74,64,174,1
121,251,50,1
56,104,246,1
177,111,181,1
196,152,161,1
74,132,227,1
97,208,90,1
250,51,70,1
158,155,165,1
178,120,215,1
60,34,86,0
119,62,128,1
189,242,88,1
172,179,17,1
88,46,190,1
87,53,92,0
60,98,243,1
240,67,153,1
101,91,219,1
80,175,178,1
175,208,33,1
100,229,20,1
250,120,87,1
143,68,57,1
242,75,199,1
4,186,151,1
48,214,226,1
166,63,251,1
76,154,138,1
198,207,162,1
211,191,234,1
226,249,93,1
98,19,140,1
2,135,130,1
38,40,162,1
154,133,76,1
40,211,10,1
1,34,115,0
95,176,6,1
7,5,205,1
78,93,160,1
56,233,218,1
207,118,8,1
175,180,99,1
96,23,226,1
130,59,78,1
140,253,172,1
119,182,84,1
158,15,10,1
72,171,3,1
11,47,112,0
55,60,178,1
76,98,95,0
212,179,167,1
142,203,101,1
47,126,46,0
238,72,104,1
20,18,128,1
59,208,121,1
114,80,111,0
186,94,11,1
217,121,15,1
217,220,51,1
123,253,183,1
133,182,222,1
235,107,111,1
74,148,226,1
94,198,218,1
90,110,215,1
70,221,1,1
66,158,25,1
228,205,210,1
162,58,39,1
18,123,107,0
205,231,229,1
109,43,72,0
161,85,183,1
76,114,235,1
173,93,90,1
134,31,67,1
8,7,1,0
225,42,186,1
14,16,92,0
179,107,130,1
209,106,152,1
